ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
49106,49106,1973,4345,1752,2062,130,3430,3619,4420,4471,4471,0
49107,49107,4187,10102,4159,3993,104,6964,7734,10063,10123,10123,0
49111,49111,1306,3365,1489,1386,98,2480,2734,3445,3462,3462,0
49112,49112,3694,10155,3958,4221,297,6960,7750,10043,10162,10162,0
49113,49113,725,1772,748,704,27,1269,1381,1761,1772,1772,0
49115,49115,234,443,194,241,16,421,435,443,443,443,0
49116,49116,148,269,130,139,0,269,269,269,269,269,0
49117,49117,1732,3809,1487,1769,99,2897,3098,3815,3837,3837,0
49119,49119,48,169,48,41,5,89,89,169,169,169,0
49120,49120,14849,36751,14593,15616,589,25494,28792,36596,37178,37178,0
49125,49125,923,1877,802,957,17,1556,1658,1877,1877,1877,0
49126,49126,542,1120,493,509,60,897,970,1132,1141,1141,0
49127,49127,4476,11078,4325,4521,206,7832,8468,10893,11092,11092,0
49128,49128,1558,3749,1625,1498,70,2598,2994,3710,3749,3749,0
49129,49129,270,616,281,255,16,481,489,616,616,616,0
49130,49130,709,1765,737,649,32,1310,1356,1704,1765,1765,0
49201,49201,15345,36959,22427,15878,572,32172,36709,44237,44536,44536,0
49202,49202,8754,19750,7139,8883,497,13349,15235,19732,20071,20071,0
49203,49203,15276,38553,13821,16106,965,25158,28293,38272,38842,38842,0
49220,49220,888,2154,955,803,28,1549,1667,2148,2154,2154,0
49221,49221,14464,36197,17483,16176,586,26925,32210,40687,41103,41103,0
49224,49224,5158,12363,5466,5926,333,8512,10903,13655,13886,13886,0
49227,49227,509,1230,512,521,31,897,978,1227,1235,1235,0
49228,49228,2174,5328,2111,2162,104,3667,4119,5245,5328,5328,0
49229,49229,1244,3359,1361,1387,52,2317,2584,3316,3359,3359,0
49230,49230,4398,10466,4347,4431,253,7749,8483,10439,10473,10473,0
49232,49232,905,2532,996,971,70,1745,1892,2511,2553,2553,0
49233,49233,1045,2189,1022,974,13,1749,1906,2171,2189,2189,0
49234,49234,1173,2723,1331,1138,11,2231,2388,2739,2755,2755,0
49235,49235,814,2224,891,906,76,1505,1665,2201,2232,2232,0
49236,49236,1826,4530,2031,1776,131,3189,3539,4592,4634,4634,0
49237,49237,1056,2957,1180,1091,41,1897,2154,2910,2964,2964,0
49238,49238,652,1765,672,725,39,1118,1301,1800,1805,1805,0
49240,49240,3639,9783,3961,3920,168,6743,7496,9707,9783,9783,0
49241,49241,920,2472,976,1052,51,1702,1899,2462,2472,2472,0
49242,49242,5589,13955,5963,6675,241,9607,12096,15105,15280,15280,0
49245,49245,1800,4935,1924,1919,178,3316,3625,4868,4945,4945,0
49246,49246,1260,3267,1351,1388,15,2244,2422,3224,3267,3267,0
49247,49247,2237,5624,2190,2293,90,3763,4176,5580,5694,5694,0
49248,49248,326,780,326,342,20,571,634,784,791,791,0
49249,49249,1640,3879,1600,1699,38,2900,3128,3857,3884,3884,0
49250,49250,2325,5786,2361,2396,118,4075,4403,5902,5946,5946,0
49251,49251,2278,6463,2724,2516,155,4312,4759,6420,6508,6508,0
49252,49252,1016,2443,1046,961,38,1681,1881,2438,2472,2472,0
49253,49253,1377,2962,1346,1341,50,2493,2610,2959,2962,2962,0
49254,49254,1249,2698,1359,1073,18,2143,2297,2684,2698,2698,0
49255,49255,683,2271,808,768,64,1260,1431,2236,2282,2282,0
49256,49256,1580,4022,1610,1648,103,2615,3039,3978,4047,4047,0
49259,49259,770,2037,809,794,66,1420,1476,2019,2037,2037,0
49261,49261,118,370,85,166,0,185,185,370,370,370,0
49262,49262,513,1313,539,529,11,918,999,1304,1313,1313,0
49263,49263,19,39,20,19,0,39,39,39,39,39,0
49264,49264,790,2260,892,876,53,1542,1687,2261,2281,2281,0
49265,49265,2136,5135,2180,2246,88,3822,4183,5095,5135,5135,0
49266,49266,1279,3109,1286,1296,97,2297,2496,3035,3120,3120,0
