ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
8520,8520,9094,26866,10354,11121,742,18151,20471,26815,27065,27065,0
8525,8525,1955,4938,1982,2202,35,3660,4018,4951,4965,4965,0
8527,8527,20229,55488,22015,24085,1042,38938,43271,55411,55825,55825,0
8528,8528,77,173,58,88,0,134,134,173,173,173,0
8530,8530,3147,6677,3670,2829,23,5827,6319,7312,7328,7328,0
8533,8533,2146,6167,2576,2558,233,4304,4694,6074,6178,6178,0
8534,8534,4864,13290,5116,5690,134,9168,10164,13336,13361,13361,0
8535,8535,1669,4660,2175,1837,67,3296,3742,4628,4660,4660,0
8536,8536,7911,20180,7780,8199,304,13891,15011,19948,20180,20180,0
8540,8540,17441,44451,19016,20416,576,31177,37317,48082,48341,48341,0
8542,8542,1704,3999,2944,2179,0,3106,5088,5714,5752,5752,0
8550,8550,6502,19146,7624,7917,235,13279,14448,19175,19349,19349,0
8551,8551,1870,5257,2198,2242,20,3563,4107,5248,5257,5257,0
8553,8553,232,604,250,230,0,424,452,607,618,618,0
8554,8554,1464,3913,1453,1697,65,2865,3026,3884,3913,3913,0
8555,8555,277,744,298,321,14,538,598,725,744,744,0
8558,8558,2428,7027,2718,2844,52,4750,5139,7038,7106,7106,0
8559,8559,1958,5041,2296,2152,19,3689,4156,5035,5051,5051,0
8560,8560,1347,3669,1390,1612,0,2644,2857,3636,3669,3669,0
8561,8561,48,119,20,58,0,78,78,119,119,119,0
8562,8562,1709,4733,1955,1798,127,2947,3441,4638,4733,4733,0
8608,8608,465,710,299,444,0,706,742,805,805,805,0
8609,8609,4546,12763,5769,5307,510,8668,10419,13043,13237,13237,0
8610,8610,11285,29880,12303,12487,983,20631,23483,29455,29911,29911,0
8611,8611,7953,24377,11253,9031,504,16545,19318,25598,25906,25906,0
8618,8618,13191,35313,15578,17167,1070,23465,31153,40049,40498,40498,0
8619,8619,8674,21691,8653,9926,458,15836,17742,21793,22088,22088,0
8620,8620,4256,11438,5693,5259,192,8998,10552,12527,12655,12655,0
8628,8628,4052,8804,3810,4344,122,7527,8067,9321,9414,9414,0
8629,8629,3884,13613,5759,5270,515,8953,10452,13484,13615,13615,0
8638,8638,8051,21802,8828,9842,693,15664,18005,22532,22794,22794,0
8640,8640,955,2978,6111,1017,18,6145,6014,8190,8246,8246,0
8641,8641,1231,4175,1720,1336,9,1991,1485,4548,4748,4748,0
8648,8648,11828,29737,12542,14472,636,21850,25906,31914,32137,32137,0
8690,8690,7125,19226,7393,9089,544,13864,15755,19125,19347,19347,0
8691,8691,5805,15845,6046,7124,311,11123,12231,15765,15887,15887,0
8701,8701,23738,95781,27756,29111,618,44155,52731,94701,97907,97907,0
8720,8720,251,836,342,464,7,621,711,953,953,953,0
8721,8721,7613,20492,8149,8828,392,14695,16236,20645,20931,20931,0
8722,8722,3726,11135,4312,4534,366,7284,8414,11035,11153,11153,0
8723,8723,12823,31874,12827,14022,610,22886,25744,31759,32064,32064,0
8724,8724,16623,41458,16770,18555,901,30574,33550,41591,41858,41858,0
8730,8730,1821,4745,2022,1835,35,3340,3687,4722,4745,4745,0
8731,8731,7681,19902,8149,8500,168,13820,15688,19718,19944,19944,0
8732,8732,638,1480,548,747,25,1110,1270,1469,1480,1480,0
8733,8733,860,2673,1062,1009,66,1687,1879,2678,2710,2710,0
8734,8734,3191,8315,3429,3734,197,6036,6897,8223,8329,8329,0
8735,8735,1803,3439,1555,1668,76,3052,3166,3432,3439,3439,0
8736,8736,4723,12546,5446,5364,178,9208,10184,12551,12618,12618,0
8738,8738,473,906,421,494,0,877,902,932,932,932,0
8740,8740,818,2060,794,975,77,1438,1696,2050,2060,2060,0
8741,8741,930,2549,957,1121,44,1749,2017,2557,2574,2574,0
8742,8742,9840,24161,9663,10726,251,17302,19456,24140,24365,24365,0
8750,8750,1427,3344,1353,1552,13,2563,2721,3336,3349,3349,0
8751,8751,1849,4301,1614,2125,14,3117,3546,4249,4304,4304,0
8752,8752,1274,2309,1002,1122,0,1990,2089,2309,2309,2309,0
8753,8753,23212,62365,25275,26192,1185,43845,48978,62627,63222,63222,0
8755,8755,10081,24633,9794,11514,264,19034,20429,25275,25491,25491,0
8757,8757,16738,33260,13251,16971,344,28004,29445,33282,33565,33565,0
8758,8758,3360,7613,3369,3432,181,6259,6652,7531,7619,7619,0
8759,8759,19117,32452,13481,18092,225,30068,31213,32854,32940,32940,0
8801,8801,2646,6560,5077,2947,11,5144,7508,9039,9104,9104,0
8802,8802,1473,4127,1578,1751,74,2830,3129,4084,4127,4127,0
8804,8804,960,2351,1028,992,19,1666,1870,2354,2358,2358,0
8805,8805,4133,12055,5213,4763,165,8252,9567,11980,12163,12163,0
8807,8807,13126,38338,14467,16908,810,26432,29609,38610,38998,38998,0
8808,8808,27,33,27,6,0,33,33,33,33,33,0
8809,8809,1974,4981,2484,2538,76,3920,4456,5856,5913,5913,0
8810,8810,2766,8640,3127,3704,189,5554,6350,8605,8640,8640,0
8812,8812,4593,14110,5501,6148,303,9943,11000,14236,14430,14430,0
8816,8816,16337,46866,18656,20037,975,33226,36616,46830,47103,47103,0
8817,8817,15924,44169,17834,18304,1062,32074,35074,44167,44730,44730,0
8820,8820,13257,40057,15872,16672,1299,28881,30988,40175,40426,40426,0
8821,8821,112,362,179,134,0,227,305,362,362,362,0
8822,8822,11573,30209,11578,13284,368,21651,23766,30306,30669,30669,0
8823,8823,3751,9534,3685,4094,291,7180,7499,9512,9628,9628,0
8824,8824,4273,12783,5164,5132,295,8867,9679,12744,12788,12788,0
8825,8825,1688,4525,1923,1942,176,3343,3704,4537,4591,4591,0
8826,8826,2258,5423,2337,2334,8,3997,4487,5519,5553,5553,0
8827,8827,1632,4147,1686,1864,22,3094,3384,4138,4171,4171,0
8828,8828,842,2314,878,1080,23,1660,1863,2305,2314,2314,0
8829,8829,1539,3632,1462,1453,36,2626,2788,3578,3632,3632,0
8830,8830,6353,19004,7811,7968,868,14093,15234,18805,19009,19009,0
8831,8831,20558,48895,19356,22371,1034,37836,39924,49075,49399,49399,0
8832,8832,899,2354,971,918,93,1649,1799,2293,2354,2354,0
8833,8833,3056,8012,3378,3614,121,6008,6602,8067,8105,8105,0
8835,8835,3738,10443,4382,4357,304,7339,8327,10405,10448,10448,0
8836,8836,1336,3819,1557,1706,185,2784,3020,3807,3827,3827,0
8837,8837,6367,16018,6287,7457,163,12325,13207,16536,16728,16728,0
8840,8840,5966,16406,6167,6862,385,11696,12538,16227,16411,16411,0
8844,8844,13551,39426,15273,16493,907,26879,30018,39093,39653,39653,0
8846,8846,4610,13791,5173,5837,392,9201,10379,13695,13811,13811,0
8848,8848,3062,8347,3419,3595,154,6012,6680,8323,8354,8354,0
8850,8850,3061,8799,3435,3810,98,6209,6752,8714,8804,8804,0
8852,8852,6282,17843,6760,7351,625,11824,13109,17692,17906,17906,0
8853,8853,1804,5247,2013,2429,71,3621,4105,5172,5247,5247,0
8854,8854,16253,47526,24104,24956,1669,34051,47088,56943,57432,57432,0
8857,8857,14755,40332,15935,17745,1183,29506,32362,40056,40628,40628,0
8858,8858,54,144,101,43,0,98,98,144,144,144,0
8859,8859,7992,21787,9186,9055,758,15561,17078,21503,21806,21806,0
8861,8861,16565,53730,20601,21312,1937,33892,39556,53572,54390,54390,0
8863,8863,4442,12739,5002,5329,328,9008,9868,12489,12739,12739,0
8865,8865,11522,28854,11185,12866,394,20042,22830,29039,29263,29263,0
8867,8867,1792,5109,1961,2139,49,3475,3807,5143,5147,5147,0
8869,8869,2818,7529,2964,3219,254,5164,5879,7525,7539,7539,0
8872,8872,7186,20291,7875,8428,596,14218,15609,20060,20293,20293,0
8873,8873,19398,52328,21274,22697,1008,38177,42302,52671,53094,53094,0
8876,8876,8077,21963,8844,9220,281,15557,17301,22057,22369,22369,0
8879,8879,9224,23166,9704,10006,388,17022,18763,23064,23343,23343,0
8880,8880,1518,4580,1701,2017,143,3371,3601,4597,4613,4613,0
8882,8882,5551,16229,6976,6496,465,11148,12616,15991,16244,16244,0
8884,8884,3356,8375,3410,3666,137,6309,6736,8358,8418,8418,0
8886,8886,2394,7082,2779,2830,26,4602,5220,7047,7111,7111,0
8887,8887,544,1115,428,564,0,863,898,1124,1124,1124,0
8889,8889,3757,9909,3944,4326,318,6991,7684,9709,9928,9928,0
8890,8890,0,0,0,0,0,0,0,0,0,0,0
8901,8901,14309,48707,23521,22718,774,26583,44219,56500,57585,57585,0
8902,8902,14637,40775,16051,17835,1313,29286,32469,41261,41755,41755,0
8904,8904,5778,14231,5373,5942,110,9585,10760,14074,14245,14245,0
10001,10001,11967,22275,11135,9928,128,17371,20748,23242,23332,23332,0
10002,10002,33327,76233,33042,35926,1659,60343,66937,77451,78096,78096,0
10003,10003,27258,46473,25610,27981,84,40442,52995,56116,56767,56767,0
10004,10004,1592,3042,1258,1472,4,2343,2573,3004,3044,3044,0
10005,10005,4295,8694,3666,4273,9,6521,7891,8592,8710,8710,0
10006,10006,1776,3277,1263,1607,0,2484,2842,3236,3277,3277,0
10007,10007,2743,5830,3277,2375,0,5193,5495,6661,6740,6740,0
10009,10009,30062,59098,24148,30628,1171,46974,53420,59256,59799,59799,0
10010,10010,16070,29452,15236,14773,241,24979,29776,32626,32854,32854,0
10011,10011,28738,48912,23077,23033,350,42161,45494,49832,50404,50404,0
10012,10012,12240,23074,11540,11086,139,19381,22390,24306,24536,24536,0
10013,10013,11934,26297,11924,12274,292,21081,23643,27842,28211,28211,0
10014,10014,18671,30980,15059,14060,44,27499,28912,31222,31464,31464,0
10016,10016,28359,48735,21235,25166,174,40423,45861,49752,50444,50444,0
10017,10017,10134,16371,7290,8224,97,14169,15353,16303,16533,16533,0
10018,10018,4956,9592,4605,4464,14,7789,8977,9645,9684,9684,0
10019,10019,23465,38963,19105,17911,247,34014,36720,39161,39505,39505,0
10020,10020,0,0,0,0,0,0,0,0,0,0,0
10021,10021,24558,44654,16489,21801,115,36506,37792,44139,45261,45261,0
10022,10022,17619,29619,12215,15764,94,26404,27644,29928,30262,30262,0
10023,10023,33144,58755,23328,29425,338,48939,52215,59301,60307,60307,0
10024,10024,28809,57480,22786,27762,579,47208,49056,57772,58516,58516,0
10025,10025,42783,89450,36435,45642,1359,71046,80103,93801,94717,94717,0
10026,10026,14803,37479,14731,16864,728,27039,30623,38017,38540,38540,0
10027,10027,22933,56914,24911,29528,1500,39999,52375,63539,64120,64120,0
10028,10028,25837,48109,18079,24189,214,39645,41294,47750,48205,48205,0
10029,10029,30640,75905,29311,37027,1748,53494,63027,78832,79411,79411,0
10030,10030,11878,29734,12117,13206,955,20871,24409,30050,30358,30358,0
10031,10031,21881,60319,26295,26564,1738,43100,50833,60217,60778,60778,0
10032,10032,20140,62150,27387,27361,1903,46184,53016,62689,63189,63189,0
10033,10033,19426,58485,25176,25133,2109,41858,48737,58503,59353,59353,0
10034,10034,15841,43917,17444,19090,1877,30564,35168,43415,43951,43951,0
10035,10035,13480,31327,14127,14474,484,24005,27624,33943,34187,34187,0
10036,10036,15568,25367,13994,10739,161,21621,24395,25868,25987,25987,0
10037,10037,9317,19754,6543,9569,313,14007,15436,19924,20112,20112,0
10038,10038,10048,20779,9367,10904,290,16814,19873,22158,22300,22300,0
10039,10039,10856,27186,9095,12324,834,17375,20472,27012,27471,27471,0
10040,10040,16086,43415,17729,20910,1486,32780,37355,44347,45033,45033,0
10044,10044,4790,10094,4679,5868,214,9145,10258,11478,11731,11731,0
10065,10065,16468,29688,11088,15167,7,24380,25910,29613,30001,30001,0
10069,10069,2629,5231,2036,2190,0,3971,4151,5141,5231,5231,0
10075,10075,12766,22766,9172,11812,0,19275,20436,23066,23353,23353,0
10103,10103,0,0,0,0,0,0,0,0,0,0,0
10110,10110,0,0,0,0,0,0,0,0,0,0,0
10111,10111,0,0,0,0,0,0,0,0,0,0,0
10112,10112,0,0,0,0,0,0,0,0,0,0,0
10115,10115,0,0,0,0,0,0,0,0,0,0,0
10119,10119,0,0,0,0,0,0,0,0,0,0,0
10128,10128,32151,62626,22916,31647,369,49998,53322,62191,63006,63006,0
10152,10152,0,0,0,0,0,0,0,0,0,0,0
10153,10153,0,0,0,0,0,0,0,0,0,0,0
10154,10154,0,0,0,0,0,0,0,0,0,0,0
10162,10162,625,1253,525,423,0,948,948,1253,1253,1253,0
10165,10165,0,0,0,0,0,0,0,0,0,0,0
10167,10167,0,0,0,0,0,0,0,0,0,0,0
10168,10168,0,0,0,0,0,0,0,0,0,0,0
10169,10169,0,0,0,0,0,0,0,0,0,0,0
10170,10170,0,0,0,0,0,0,0,0,0,0,0
10171,10171,0,0,0,0,0,0,0,0,0,0,0
10172,10172,0,0,0,0,0,0,0,0,0,0,0
10173,10173,0,0,0,0,0,0,0,0,0,0,0
10174,10174,0,0,0,0,0,0,0,0,0,0,0
10177,10177,0,0,0,0,0,0,0,0,0,0,0
10199,10199,0,0,0,0,0,0,0,0,0,0,0
10271,10271,0,0,0,0,0,0,0,0,0,0,0
10278,10278,0,0,0,0,0,0,0,0,0,0,0
10279,10279,0,0,0,0,0,0,0,0,0,0,0
10280,10280,4800,9845,3797,4066,0,7343,7752,9758,9845,9845,0
10282,10282,2434,5635,2007,2183,0,3914,4036,5419,5635,5635,0
10301,10301,14361,37224,15531,16056,707,25463,30091,39097,39519,39519,0
10302,10302,6072,17632,7230,6935,604,11844,13564,17529,17758,17758,0
10303,10303,8124,24424,9089,10322,846,15230,18053,24325,24562,24562,0
10304,10304,14669,40993,15905,17930,1347,27449,31903,41553,42054,42054,0
10305,10305,14563,40654,16339,17853,1552,29615,32734,40901,41533,41533,0
10306,10306,20271,54523,21487,24492,1276,39153,43804,54758,55031,55031,0
10307,10307,5128,15223,6007,6210,149,10065,11571,15145,15275,15275,0
10308,10308,10667,30314,11805,13646,589,21661,24269,30143,30347,30347,0
10309,10309,11247,33259,13234,13719,1018,22973,25493,33051,33459,33459,0
10310,10310,8304,24121,9285,9683,547,15454,17873,23959,24250,24250,0
10311,10311,0,0,0,0,0,0,0,0,0,0,0
10312,10312,21311,60870,24011,26350,1373,42733,47720,60361,60951,60951,0
10314,10314,31297,87278,34536,38650,1997,62700,70206,87727,88585,88585,0
10451,10451,18489,48090,16321,20990,1353,29447,35152,47641,48289,48289,0
10452,10452,25765,74534,25434,31450,2691,44365,53145,74164,75288,75288,0
10453,10453,27240,78830,26912,34889,2656,47495,58060,79422,80516,80516,0
10454,10454,12838,38065,13514,15259,942,21434,26777,38437,38938,38938,0
10455,10455,14225,41543,14847,17269,1482,25653,29971,41985,42779,42779,0
10456,10456,29771,90280,30981,38779,3231,54031,65176,91491,92712,92712,0
10457,10457,24089,71117,25179,29978,2200,42870,51194,72431,74010,74010,0
10458,10458,27000,78433,29851,33233,2247,46414,59411,80481,81698,81698,0
10459,10459,15870,47205,16822,19719,1402,28219,34167,47334,47972,47972,0
10460,10460,19974,58916,20945,25286,2069,36286,43213,59313,60266,60266,0
10461,10461,18881,49014,20120,21830,1424,36071,40329,49689,50255,50255,0
10462,10462,29438,78387,29200,34072,2045,53140,60437,77849,78725,78725,0
10463,10463,27607,69077,26535,31455,1346,50235,55848,70318,71657,71657,0
10464,10464,1890,4282,1718,1880,96,3093,3493,4262,4300,4300,0
10465,10465,15647,43065,17882,19611,1198,30997,36090,44593,44950,44950,0
10466,10466,23056,70829,25959,31777,2970,46570,54632,70835,71645,71645,0
10467,10467,35860,101385,38118,42263,3452,65954,76621,101452,103045,103045,0
10468,10468,25485,74248,27347,31646,2621,47069,55946,74006,75537,75537,0
10469,10469,21821,69029,26391,33011,2600,48557,56032,71089,71664,71664,0
10470,10470,5800,14462,5822,6440,470,10603,11846,14387,14574,14574,0
10471,10471,8614,18673,8325,10115,286,15448,17891,21329,21601,21601,0
10472,10472,21756,68207,25282,27851,2111,42380,50032,67878,68972,68972,0
10473,10473,20906,61505,21723,27925,2410,39670,47119,61242,61818,61818,0
10474,10474,3542,11659,5146,4569,374,7469,8995,12588,12793,12793,0
10475,10475,18664,43214,16114,22341,914,32380,37175,44387,44749,44749,0
10501,10501,385,1226,556,463,38,865,954,1226,1226,1226,0
10502,10502,1879,5503,2233,2365,153,3801,4228,5464,5513,5513,0
10503,10503,86,137,61,76,0,137,137,137,137,137,0
10504,10504,2569,7900,2996,3161,22,5081,5585,7859,7903,7903,0
10505,10505,298,898,256,365,16,529,555,894,905,905,0
10506,10506,1961,5931,2081,2324,55,3798,4086,5912,5963,5963,0
10507,10507,2071,5497,2252,3479,58,4942,5476,6779,6859,6859,0
10509,10509,6756,19056,8136,7787,359,13213,15059,19219,19419,19419,0
10510,10510,3466,9767,3850,4483,211,6878,7921,10346,10423,10423,0
10511,10511,807,2251,948,952,140,1612,1781,2247,2263,2263,0
10512,10512,9128,24654,9998,10918,806,18238,19951,24939,25076,25076,0
10514,10514,3948,12672,4610,4852,38,7791,8669,12530,12688,12688,0
10516,10516,2170,5477,2296,2225,96,4061,4303,5464,5486,5486,0
10517,10517,150,584,241,266,33,382,476,584,584,584,0
10518,10518,494,1478,617,626,0,1048,1159,1478,1478,1478,0
10519,10519,71,134,63,74,0,117,117,137,137,137,0
10520,10520,5208,12421,4760,5580,223,9201,9746,12574,12797,12797,0
10522,10522,3680,9936,4695,4786,109,7446,8861,10985,11058,11058,0
10523,10523,2763,9046,4146,3396,465,6373,7158,9007,9058,9058,0
10524,10524,1454,3896,1776,1933,38,3205,3559,4246,4268,4268,0
10526,10526,614,1505,542,664,0,1046,1172,1516,1522,1522,0
10527,10527,276,819,372,307,0,597,616,836,836,836,0
10528,10528,4589,13050,5035,5339,127,8911,9753,13019,13066,13066,0
10530,10530,5738,12684,4899,6135,205,10021,10573,12652,12800,12800,0
10532,10532,1662,4891,1952,2163,116,3534,3913,5009,5019,5019,0
10533,10533,2591,7524,2622,3299,121,4874,5325,7497,7590,7590,0
10535,10535,266,685,244,270,40,472,493,685,685,685,0
10536,10536,3459,10686,4298,4436,161,7069,8094,10710,10775,10775,0
10537,10537,576,1541,700,665,34,1147,1353,1541,1541,1541,0
10538,10538,5947,16677,6013,6494,135,10927,11747,16523,16718,16718,0
10541,10541,8644,26336,10769,11046,403,17543,20289,25947,26371,26371,0
10543,10543,7597,20266,7817,8744,335,14010,15633,20485,20643,20643,0
10545,10545,0,0,131,0,9,122,131,131,131,131,0
10546,10546,472,1425,528,585,22,900,1028,1413,1433,1433,0
10547,10547,2584,7038,3246,3113,49,4978,5980,7436,7461,7461,0
10548,10548,1295,3270,1448,1376,56,2493,2740,3332,3398,3398,0
10549,10549,5834,16311,7246,6331,167,11190,12639,16469,16557,16557,0
10550,10550,13208,37256,13517,16210,1232,24392,28324,37010,37679,37679,0
10552,10552,8127,19230,7403,9318,581,15100,16327,19344,19620,19620,0
10553,10553,3282,10595,3815,4903,563,7180,8317,10456,10606,10606,0
10560,10560,1734,4682,1930,2269,24,3543,3907,4890,4930,4930,0
10562,10562,10046,29521,13023,12818,926,22756,24705,31370,31745,31745,0
10566,10566,9180,23807,9822,9658,665,16736,18731,23592,23977,23977,0
10567,10567,6924,20131,8121,8472,505,14179,15615,20424,20652,20652,0
10570,10570,4114,11948,5042,5272,154,7786,9640,12891,12966,12966,0
10573,10573,12537,38587,15669,15662,1038,26735,29857,38638,38958,38958,0
10576,10576,1872,4856,1745,2293,58,3586,3853,4856,4878,4878,0
10577,10577,833,2529,2572,3467,11,1777,5764,6480,6508,6508,0
10578,10578,308,843,369,386,0,543,685,843,843,843,0
10579,10579,3175,9421,3935,3677,157,6819,7274,9391,9438,9438,0
10580,10580,5797,17105,6008,6920,167,10948,11952,17090,17270,17270,0
10583,10583,13701,39885,14680,16140,575,26595,28808,39736,40054,40054,0
10588,10588,1069,2745,1105,1376,139,2199,2308,2738,2748,2748,0
10589,10589,3789,8739,3470,4402,111,7200,7504,9216,9229,9229,0
10590,10590,2478,6925,2793,2760,54,4607,5063,6858,6937,6937,0
10591,10591,8830,22827,8848,10181,512,16584,18340,23212,23394,23394,0
10594,10594,1536,4778,2062,2114,125,3319,3872,5039,5076,5076,0
10595,10595,2277,6817,4019,3169,136,5802,6862,8177,8237,8237,0
10596,10596,546,1722,657,678,41,1084,1248,1689,1727,1727,0
10597,10597,388,1154,484,547,0,775,981,1154,1154,1154,0
10598,10598,10340,29404,11164,12550,518,20035,22366,29238,29489,29489,0
10601,10601,5195,11043,4570,4829,101,8347,9236,11321,11519,11519,0
10603,10603,6753,17215,6362,8274,213,12282,13903,17296,17429,17429,0
10604,10604,3847,11106,4693,4539,222,7807,8832,11064,11153,11153,0
10605,10605,6616,16985,6780,7699,310,12659,13745,17322,17470,17470,0
10606,10606,5723,17983,7095,7699,728,12470,14169,18109,18312,18312,0
10607,10607,2212,6782,3016,2847,276,5105,5590,6780,6806,6806,0
10701,10701,21514,57602,21648,25805,1432,39013,44676,58236,58841,58841,0
10703,10703,7045,20687,8415,8860,626,14020,16279,20763,21039,21039,0
10704,10704,12218,32045,12731,13995,679,23151,25880,31724,32125,32125,0
10705,10705,13601,40836,15579,16863,1607,26306,30777,40370,41008,41008,0
10706,10706,3310,8358,3415,3851,84,6187,6687,8707,8776,8776,0
10707,10707,3994,10173,3982,4500,69,7209,8121,10188,10253,10253,0
10708,10708,9224,21482,8296,10386,405,15912,18133,22394,22632,22632,0
10709,10709,3558,9069,3512,4033,72,6435,7149,9041,9090,9090,0
10710,10710,10195,27538,10677,12787,621,19972,22480,27241,27602,27602,0
10801,10801,14349,40270,17339,17594,852,27668,33246,41789,42154,42154,0
10803,10803,3882,12526,4660,5040,283,8099,8979,12424,12560,12560,0
10804,10804,4992,14546,5389,6282,174,10080,11110,14530,14634,14634,0
10805,10805,7535,17215,7549,8374,411,13322,15250,18384,18503,18503,0
10901,10901,8710,23418,9365,10100,590,16549,18365,23835,23959,23959,0
10910,10910,27,27,0,27,0,27,27,27,27,27,0
10911,10911,0,0,0,0,0,0,0,0,0,0,0
10913,10913,1603,5208,2386,2260,118,3422,4304,5610,5626,5626,0
10914,10914,134,455,147,220,0,314,344,455,455,455,0
10915,10915,0,0,0,14,0,14,14,14,14,14,0
10916,10916,1223,4113,1672,1744,164,2810,3072,4254,4265,4265,0
10917,10917,644,2134,786,849,56,1372,1576,2134,2134,2134,0
10918,10918,3821,11934,4815,5088,336,8036,9276,12096,12264,12264,0
10919,10919,446,1323,640,475,0,876,1066,1311,1331,1331,0
10920,10920,2948,8840,3732,3876,339,6158,7078,8829,8877,8877,0
10921,10921,1335,3856,1506,1545,116,2616,2879,3810,3856,3856,0
10922,10922,589,1568,749,621,0,1161,1322,1568,1568,1568,0
10923,10923,2687,8686,3773,3402,315,5900,6748,8601,8796,8796,0
10924,10924,4570,12233,5590,5579,139,9412,10456,13248,13388,13388,0
10925,10925,1746,4061,1803,1647,127,3135,3390,4028,4061,4061,0
10926,10926,1226,3067,1227,1339,25,2161,2430,3069,3108,3108,0
10927,10927,3621,11731,4548,5063,643,7722,9095,11956,12120,12120,0
10928,10928,1835,4004,1793,1729,41,3017,3289,3976,4004,4004,0
10930,10930,2645,8772,3306,3534,232,5499,6337,8751,8784,8784,0
10931,10931,311,887,357,346,35,610,664,884,887,887,0
10932,10932,24,106,25,81,0,70,96,106,106,106,0
10933,10933,255,927,414,330,33,637,647,927,927,927,0
10940,10940,17668,48390,19176,20700,1290,32145,37744,48692,49194,49194,0
10941,10941,4728,13175,5538,5345,530,8969,10370,13050,13242,13242,0
10950,10950,12655,49414,15955,15428,408,23196,28852,48252,49712,49712,0
10952,10952,9059,41070,12385,13198,396,18037,22673,40378,41631,41631,0
10953,10953,79,190,71,81,16,152,152,190,190,190,0
10954,10954,8212,22792,8879,10185,528,16786,18434,23036,23226,23226,0
10956,10956,10129,30912,12601,13434,702,22098,24465,31232,31450,31450,0
10958,10958,922,2679,1542,1112,39,2213,2536,3095,3121,3121,0
10960,10960,6244,14502,6345,6458,126,10811,12224,15245,15357,15357,0
10962,10962,1744,4822,2386,2365,95,4131,4547,5554,5581,5581,0
10963,10963,830,2489,2751,1021,41,3337,3588,4250,4263,4263,0
10964,10964,521,1327,592,671,0,1032,1164,1367,1367,1367,0
10965,10965,5441,15091,5725,6493,292,10290,11715,14945,15149,15149,0
10968,10968,1146,2244,1027,1001,0,1857,1954,2249,2249,2249,0
10969,10969,500,1403,570,583,14,890,1095,1385,1403,1403,0
10970,10970,3631,9439,3809,4256,177,6885,7751,9595,9773,9773,0
10973,10973,768,2312,1069,947,79,1521,1899,2318,2322,2322,0
10974,10974,1101,3179,1315,1351,37,2139,2520,3208,3208,3208,0
10975,10975,153,291,122,123,0,197,237,291,291,291,0
10976,10976,785,1955,885,1486,88,1711,2288,2689,2699,2699,0
10977,10977,15566,62724,21739,21790,1418,34521,40428,61967,63319,63319,0
10979,10979,81,283,129,51,0,180,180,283,283,283,0
10980,10980,4647,13911,5623,6198,348,9578,11090,13948,13997,13997,0
10983,10983,1890,5654,2248,2243,162,3844,4311,5599,5674,5674,0
10984,10984,965,2988,1161,1493,145,2170,2522,2975,3020,3020,0
10985,10985,19,38,19,19,0,38,38,38,38,38,0
10986,10986,561,1696,750,607,35,1061,1250,1696,1696,1696,0
10987,10987,1343,3238,1364,1392,9,2417,2612,3265,3280,3280,0
10988,10988,278,704,272,300,9,488,554,693,711,711,0
10989,10989,3458,10041,3860,4529,356,7396,8008,10212,10333,10333,0
10990,10990,7273,19412,8049,8437,239,13736,15449,19615,19678,19678,0
10992,10992,3152,9184,3845,3970,223,6015,7276,9188,9197,9197,0
10993,10993,1438,4978,1800,2173,190,3051,3701,4954,4996,4996,0
10994,10994,2620,7592,2935,3282,146,5228,5856,7641,7652,7652,0
10996,10996,825,3189,3671,1598,49,1644,1725,6533,6612,6612,0
10998,10998,871,2808,1122,1124,33,1764,2017,2814,2824,2824,0
11001,11001,9129,27625,11231,11547,541,19471,21761,27445,27650,27650,0
11003,11003,12064,45447,18536,19823,1888,31216,36250,45019,45480,45480,0
11004,11004,5103,13761,6200,6672,308,11005,12504,14558,14722,14722,0
11005,11005,1405,1926,648,1278,0,1926,1926,1926,1926,1926,0
11010,11010,7749,24371,9937,10525,640,17385,19522,24259,24539,24539,0
11020,11020,1842,6285,2474,2684,296,4210,4781,6270,6285,6285,0
11021,11021,7780,17626,6594,8104,324,13324,14067,17727,17856,17856,0
11023,11023,2915,9792,3624,3790,107,6267,6971,9695,9825,9825,0
11024,11024,2065,7189,3184,2764,141,4500,5624,7692,7790,7790,0
11030,11030,6145,17205,6410,7798,281,12324,13361,17526,17642,17642,0
11040,11040,12736,41355,16073,18122,1951,29309,32734,40980,41381,41381,0
11042,11042,0,0,190,359,0,549,549,549,549,549,0
11050,11050,10919,30181,11584,12803,223,21450,23360,30111,30450,30450,0
11096,11096,2442,7693,3038,3028,296,4926,5684,7629,7701,7701,0
11101,11101,12034,25951,11413,11574,261,19922,22420,26275,26505,26505,0
11102,11102,13874,33426,14391,15126,517,25402,28581,33396,33750,33750,0
11103,11103,16460,38771,17253,17380,359,30301,33745,38432,38861,38861,0
11104,11104,11500,26097,11246,11478,423,20599,22184,25843,26102,26102,0
11105,11105,15398,37264,16080,16654,535,28485,31856,36769,37297,37297,0
11106,11106,17232,39121,16638,17663,777,30701,33621,38887,39409,39409,0
11109,11109,2736,4964,2248,2090,0,4181,4338,4888,4964,4964,0
