Zip_Code,Average Income,Total households
04042,68957,952.0904292
04043,118117,280.7128413
04050,113773,135.6899344
04062,71153,1140.193893
04064,75495.5,545.5488227
04071,94442,260.4184073
04072,80054,332.9472329
04073,49993,2014.722787
04074,93335,489.5388049
04079,83554,603.2641776
04085,59213,367.6854935
04090,78017,166.7213571
04092,69314,1789.474488
04096,102660,302.9096392
04097,103450,527.0330935
04101,58705.33333,1957.890076
04102,62333.5,603.5707722
04103,78746,1228.169208
04106,65302,672.6006108
04107,119928,615.5542821
04210,54347.66667,1669.732305
04217,64139,710.7390442
04236,73268,313.7484943
04240,50567.33333,2430.889038
04250,65985,154.8222751
04252,63704,944.529159
04254,41220,979.4304461
04256,48126,534.0477307
04259,64469,335.7197008
04260,75014,1368.663435
04268,34728,421.6557885
04276,55609,308.3859034
04281,37673.5,1181.148934
04282,68855,261.1538716
04292,54597,318.2909645
04294,41150,301.7557647
04330,56444.66667,1865.492732
04345,56297,1847.603621
04346,60236,522.9132348
04347,75652,209.9899777
04352,65892,305.7880732
04353,64100,366.8491802
04357,61740,260.1924848
04359,74215,96.26209295
04401,51725.75,1858.685464
04412,55568.5,2911.897771
04416,58159,225.0492864
04421,69293,118.8618626
04426,61406,451.0430911
04429,68404,1746.654709
04430,44532,520.0396841
04434,60628,325.5168493
04441,45737,263.1240467
04443,48706,500.949628
04448,48091,391.2859037
04455,45167,262.1244814
04456,60455,692.7734511
04468,21846,363.9848
04474,75823,158.7211025
04530,60242.66667,2191.976103
04538,65690,148.9613248
04555,64278,309.5536924
04558,67072,296.2515234
04568,78904,270.6886567
04572,32672,463.3771366
04578,49173,411.9847119
04579,79956,373.08495
04605,49663.66667,2605.371915
04609,46620,1027.051873
04614,68321,407.4816717
04643,51420,964.1632611
04649,49646,250.6882645
04664,47748,907.3046389
04691,47854,250.8254602
04694,54232,658.8089637
04730,40031.5,1898.947974
04732,49466.5,925.7299653
04736,32619,508.6130702
04742,48991,457.2827553
04747,46836,339.51912
04769,37396,1318.415881
04772,51916,273.7588165
04777,48113,658.0767176
04785,41387,166.0909257
04841,58373,349.9134182
04843,51758,348.1259536
04860,87126,809.3628606
04864,41967,133.8916014
04901,58512.25,2726.929782
04915,60604,347.7562033
04930,41468,268.7543164
04945,52315,13.43284953
04955,51089,781.5069189
04957,59540.5,882.6979865
04958,41880,323.4579116
04967,49329,1285.575448
04973,49682,306.2219116
04976,41241,242.4945405
04983,65113,391.4514657
04988,43767,377.8210701
04989,64626,521.5497165
05001,54650,749.1371719
05030,45282,178.8609389
05048,68043.5,1107.007457
05059,91106.5,397.7736922
05060,61701,1146.250143
05068,43967,329.681851
05077,57527,182.7926883
05081,51329,113.1272565
05089,75416,131.762696
