,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
26109,75570,11518,4754,6764,0.413,0.587
26110,75571,2846,0,2846,0.0,1.0
26111,75572,3491,880,2611,0.252,0.748
26112,75573,181,0,181,0.0,1.0
26113,75574,1868,0,1868,0.0,1.0
26114,75601,15849,15849,0,1.0,0.0
26115,75602,23286,19357,3929,0.831,0.169
26116,75603,5456,701,4755,0.128,0.872
26117,75604,29934,28860,1074,0.964,0.036
26118,75605,27823,20380,7443,0.732,0.268
26119,75630,2588,0,2588,0.0,1.0
26120,75631,2787,0,2787,0.0,1.0
26121,75633,13977,6492,7485,0.464,0.536
26122,75638,6036,2600,3436,0.431,0.569
26123,75639,3460,0,3460,0.0,1.0
26124,75640,4652,0,4652,0.0,1.0
26125,75641,223,0,223,0.0,1.0
26126,75642,229,0,229,0.0,1.0
26127,75643,2074,0,2074,0.0,1.0
26128,75644,11444,4253,7191,0.372,0.628
26129,75645,9778,1698,8080,0.174,0.826
26130,75647,13196,7271,5925,0.551,0.449
26131,75650,8611,3658,4953,0.425,0.575
26132,75651,2189,0,2189,0.0,1.0
26133,75652,16638,9782,6856,0.588,0.412
26134,75654,12417,5405,7012,0.435,0.565
26135,75656,4804,2376,2428,0.495,0.505
26136,75657,8246,0,8246,0.0,1.0
26137,75661,2807,0,2807,0.0,1.0
26138,75662,24536,14996,9540,0.611,0.389
26139,75667,1021,0,1021,0.0,1.0
26140,75668,1993,0,1993,0.0,1.0
26141,75669,606,0,606,0.0,1.0
26142,75670,17290,13171,4119,0.762,0.238
26143,75672,17097,8808,8289,0.515,0.485
26144,75681,2562,0,2562,0.0,1.0
26145,75682,473,0,473,0.0,1.0
26146,75683,3914,0,3914,0.0,1.0
26147,75684,7548,0,7548,0.0,1.0
26148,75686,12985,4777,8208,0.368,0.632
26149,75691,4219,0,4219,0.0,1.0
26150,75692,5098,0,5098,0.0,1.0
26151,75693,6869,6454,415,0.94,0.06
26152,75701,34373,34373,0,1.0,0.0
26153,75702,27069,27032,37,0.999,0.001
26154,75703,37166,32332,4834,0.87,0.13
26155,75704,8684,3363,5321,0.387,0.613
26156,75705,2168,188,1980,0.087,0.913
26157,75706,8771,2203,6568,0.251,0.749
26158,75707,13711,6457,7254,0.471,0.529
26159,75708,7156,5058,2098,0.707,0.293
26160,75709,5062,2488,2574,0.492,0.508
26161,75750,3937,0,3937,0.0,1.0
26162,75751,17253,11616,5637,0.673,0.327
26163,75752,6986,553,6433,0.079,0.921
26164,75754,5783,0,5783,0.0,1.0
26165,75755,5719,0,5719,0.0,1.0
26166,75756,4002,0,4002,0.0,1.0
26167,75757,10022,3956,6066,0.395,0.605
26168,75758,9072,3475,5597,0.383,0.617
26169,75759,141,0,141,0.0,1.0
26170,75760,2614,0,2614,0.0,1.0
26171,75762,12466,6906,5560,0.554,0.446
26172,75763,6005,0,6005,0.0,1.0
26173,75764,233,0,233,0.0,1.0
