,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
8530,27605,4495,4495,0,1.0,0.0
8531,27606,43210,43014,196,0.995,0.005
8532,27607,25188,25161,27,0.999,0.001
8533,27608,10429,10429,0,1.0,0.0
8534,27609,32964,32964,0,1.0,0.0
8535,27610,65648,63340,2308,0.965,0.035
8536,27612,35028,35011,17,1.0,0.0
8537,27613,42690,42056,634,0.985,0.015
8538,27614,31516,29036,2480,0.921,0.079
8539,27615,42166,42166,0,1.0,0.0
8540,27616,42294,41736,558,0.987,0.013
8541,27617,15199,15183,16,0.999,0.001
8542,27701,21288,21288,0,1.0,0.0
8543,27703,41937,39733,2204,0.947,0.053
8544,27704,34517,32011,2506,0.927,0.073
8545,27705,46282,42837,3445,0.926,0.074
8546,27707,45023,44803,220,0.995,0.005
8547,27709,1047,1047,0,1.0,0.0
8548,27712,20035,17417,2618,0.869,0.131
8549,27713,46660,45838,822,0.982,0.018
8550,27801,21740,16309,5431,0.75,0.25
8551,27803,21227,15335,5892,0.722,0.278
8552,27804,29058,26188,2870,0.901,0.099
8553,27805,3992,0,3992,0.0,1.0
8554,27806,2331,0,2331,0.0,1.0
8555,27807,6629,0,6629,0.0,1.0
8556,27808,2225,0,2225,0.0,1.0
8557,27809,5091,1128,3963,0.222,0.778
8558,27810,4377,0,4377,0.0,1.0
8559,27812,2593,0,2593,0.0,1.0
8560,27813,747,0,747,0.0,1.0
8561,27814,1676,0,1676,0.0,1.0
8562,27816,2516,0,2516,0.0,1.0
8563,27817,7358,1057,6301,0.144,0.856
8564,27818,1344,0,1344,0.0,1.0
8565,27819,330,0,330,0.0,1.0
8566,27820,3088,0,3088,0.0,1.0
8567,27821,358,0,358,0.0,1.0
8568,27822,8143,10,8133,0.001,0.999
8569,27823,8201,2672,5529,0.326,0.674
8570,27824,1476,0,1476,0.0,1.0
8571,27825,103,0,103,0.0,1.0
8572,27826,1379,0,1379,0.0,1.0
8573,27827,33,0,33,0.0,1.0
8574,27828,9071,4815,4256,0.531,0.469
8575,27829,1930,0,1930,0.0,1.0
8576,27830,4755,0,4755,0.0,1.0
8577,27831,3908,1049,2859,0.268,0.732
8578,27832,2847,1301,1546,0.457,0.543
8579,27834,52914,40514,12400,0.766,0.234
8580,27837,5903,995,4908,0.169,0.831
8581,27839,4001,0,4001,0.0,1.0
8582,27840,514,0,514,0.0,1.0
8583,27841,84,0,84,0.0,1.0
8584,27842,1493,0,1493,0.0,1.0
8585,27843,1157,0,1157,0.0,1.0
8586,27844,2950,0,2950,0.0,1.0
8587,27845,2394,0,2394,0.0,1.0
8588,27846,2988,0,2988,0.0,1.0
8589,27847,936,0,936,0.0,1.0
8590,27849,1544,0,1544,0.0,1.0
8591,27850,7247,0,7247,0.0,1.0
8592,27851,5268,0,5268,0.0,1.0
8593,27852,2977,0,2977,0.0,1.0
8594,27853,673,0,673,0.0,1.0
8595,27855,6456,2786,3670,0.432,0.568
8596,27856,17141,7487,9654,0.437,0.563
8597,27857,1298,0,1298,0.0,1.0
8598,27858,55781,50739,5042,0.91,0.09
8599,27860,2246,0,2246,0.0,1.0
8600,27861,71,0,71,0.0,1.0
8601,27862,877,0,877,0.0,1.0
8602,27863,11735,2571,9164,0.219,0.781
8603,27864,4779,0,4779,0.0,1.0
8604,27865,1927,0,1927,0.0,1.0
8605,27866,855,0,855,0.0,1.0
8606,27869,2258,0,2258,0.0,1.0
8607,27870,27236,20056,7180,0.736,0.264
8608,27871,4619,0,4619,0.0,1.0
8609,27872,375,0,375,0.0,1.0
8610,27873,397,0,397,0.0,1.0
8611,27874,4861,0,4861,0.0,1.0
8612,27875,517,0,517,0.0,1.0
8613,27876,1302,0,1302,0.0,1.0
8614,27878,1931,1796,135,0.93,0.07
8615,27879,311,311,0,1.0,0.0
8616,27880,3304,0,3304,0.0,1.0
8617,27881,61,0,61,0.0,1.0
8618,27882,7413,0,7413,0.0,1.0
8619,27883,3565,0,3565,0.0,1.0
8620,27884,1282,0,1282,0.0,1.0
8621,27885,984,0,984,0.0,1.0
8622,27886,21591,13581,8010,0.629,0.371
8623,27888,2560,0,2560,0.0,1.0
8624,27889,27468,15372,12096,0.56,0.44
8625,27890,2521,2044,477,0.811,0.189
8626,27891,5227,0,5227,0.0,1.0
8627,27892,15182,5361,9821,0.353,0.647
8628,27893,39723,31228,8495,0.786,0.214
8629,27896,20130,17952,2178,0.892,0.108
8630,27897,2265,0,2265,0.0,1.0
8631,27909,40699,23898,16801,0.587,0.413
8632,27910,12007,4951,7056,0.412,0.588
8633,27915,777,0,777,0.0,1.0
8634,27916,747,0,747,0.0,1.0
8635,27917,833,0,833,0.0,1.0
8636,27919,1130,0,1130,0.0,1.0
8637,27920,1326,0,1326,0.0,1.0
8638,27921,4805,7,4798,0.001,0.999
8639,27922,1030,0,1030,0.0,1.0
8640,27923,598,0,598,0.0,1.0
8641,27924,3140,0,3140,0.0,1.0
8642,27925,4217,0,4217,0.0,1.0
8643,27926,1915,0,1915,0.0,1.0
8644,27927,542,0,542,0.0,1.0
8645,27928,1986,0,1986,0.0,1.0
8646,27929,1166,0,1166,0.0,1.0
8647,27932,12562,4790,7772,0.381,0.619
8648,27935,1698,0,1698,0.0,1.0
8649,27936,1091,0,1091,0.0,1.0
8650,27937,4333,0,4333,0.0,1.0
8651,27938,1505,0,1505,0.0,1.0
8652,27939,2361,0,2361,0.0,1.0
8653,27941,536,10,526,0.019,0.981
8654,27942,901,0,901,0.0,1.0
8655,27943,504,0,504,0.0,1.0
8656,27944,11909,0,11909,0.0,1.0
8657,27946,1207,0,1207,0.0,1.0
8658,27947,1230,0,1230,0.0,1.0
8659,27948,10862,10833,29,0.997,0.003
8660,27949,6947,5013,1934,0.722,0.278
8661,27950,2006,0,2006,0.0,1.0
8662,27953,1021,313,708,0.307,0.693
8663,27954,6111,5228,883,0.856,0.144
8664,27956,340,0,340,0.0,1.0
8665,27957,1356,0,1356,0.0,1.0
8666,27958,10144,0,10144,0.0,1.0
8667,27959,2789,2710,79,0.972,0.028
8668,27960,948,0,948,0.0,1.0
8669,27962,7792,4265,3527,0.547,0.453
8670,27964,545,387,158,0.71,0.29
8671,27965,527,0,527,0.0,1.0
8672,27966,1052,0,1052,0.0,1.0
8673,27967,366,0,366,0.0,1.0
8674,27968,298,0,298,0.0,1.0
8675,27970,3409,0,3409,0.0,1.0
8676,27972,244,0,244,0.0,1.0
8677,27973,1323,0,1323,0.0,1.0
8678,27974,1285,0,1285,0.0,1.0
8679,27976,3449,0,3449,0.0,1.0
8680,27978,225,0,225,0.0,1.0
8681,27979,1719,0,1719,0.0,1.0
8682,27980,2182,0,2182,0.0,1.0
8683,27981,1643,0,1643,0.0,1.0
8684,27982,82,0,82,0.0,1.0
8685,27983,10416,3566,6850,0.342,0.658
8686,27985,283,0,283,0.0,1.0
8687,27986,2430,0,2430,0.0,1.0
8688,28001,26760,15912,10848,0.595,0.405
8689,28006,1130,317,813,0.281,0.719
8690,28007,611,0,611,0.0,1.0
8691,28009,1121,0,1121,0.0,1.0
8692,28012,20048,17933,2115,0.895,0.105
8693,28016,13463,6182,7281,0.459,0.541
8694,28017,695,695,0,1.0,0.0
8695,28018,5562,1110,4452,0.2,0.8
8696,28019,123,123,0,1.0,0.0
8697,28020,2322,0,2322,0.0,1.0
8698,28021,13612,6802,6810,0.5,0.5
8699,28023,14175,7171,7004,0.506,0.494
8700,28025,49160,36711,12449,0.747,0.253
8701,28027,55435,52589,2846,0.949,0.051
8702,28031,24390,24311,79,0.997,0.003
8703,28032,3105,3105,0,1.0,0.0
8704,28033,2749,287,2462,0.104,0.896
8705,28034,16642,9053,7589,0.544,0.456
8706,28036,14654,11740,2914,0.801,0.199
8707,28037,18287,11837,6450,0.647,0.353
8708,28039,116,116,0,1.0,0.0
8709,28040,7969,1180,6789,0.148,0.852
8710,28043,21055,13841,7214,0.657,0.343
8711,28052,34932,32186,2746,0.921,0.079
8712,28054,36270,36270,0,1.0,0.0
8713,28056,31418,26862,4556,0.855,0.145
8714,28071,2802,0,2802,0.0,1.0
8715,28072,1357,1357,0,1.0,0.0
8716,28073,5621,411,5210,0.073,0.927
8717,28075,16143,15634,509,0.968,0.032
8718,28076,722,582,140,0.806,0.194
8719,28077,482,482,0,1.0,0.0
8720,28078,52133,48461,3672,0.93,0.07
8721,28079,31979,28785,3194,0.9,0.1
8722,28080,7299,793,6506,0.109,0.891
8723,28081,25190,21837,3353,0.867,0.133
8724,28083,23820,22035,1785,0.925,0.075
8725,28086,25895,12435,13460,0.48,0.52
8726,28088,2862,2787,75,0.974,0.026
8727,28089,248,0,248,0.0,1.0
8728,28090,8342,0,8342,0.0,1.0
8729,28091,2158,0,2158,0.0,1.0
8730,28092,38570,21378,17192,0.554,0.446
8731,28097,5369,2352,3017,0.438,0.562
8732,28098,3579,3579,0,1.0,0.0
8733,28101,698,698,0,1.0,0.0
8734,28102,78,0,78,0.0,1.0
8735,28103,10311,2454,7857,0.238,0.762
8736,28104,28040,27576,464,0.983,0.017
8737,28105,39586,39586,0,1.0,0.0
8738,28107,6422,0,6422,0.0,1.0
8739,28108,54,0,54,0.0,1.0
8740,28109,387,0,387,0.0,1.0
8741,28110,50365,36262,14103,0.72,0.28
8742,28112,26311,12208,14103,0.464,0.536
8743,28114,7554,464,7090,0.061,0.939
8744,28115,34339,27318,7021,0.796,0.204
8745,28117,35454,34799,655,0.982,0.018
8746,28119,2801,0,2801,0.0,1.0
8747,28120,19807,17267,2540,0.872,0.128
8748,28124,6622,0,6622,0.0,1.0
8749,28125,2525,0,2525,0.0,1.0
8750,28127,7594,911,6683,0.12,0.88
8751,28128,7476,0,7476,0.0,1.0
8752,28129,5399,0,5399,0.0,1.0
8753,28133,2878,0,2878,0.0,1.0
8754,28134,9453,9453,0,1.0,0.0
8755,28135,6123,175,5948,0.029,0.971
8756,28137,3120,0,3120,0.0,1.0
8757,28138,10495,3833,6662,0.365,0.635
8758,28139,20111,5530,14581,0.275,0.725
8759,28144,24734,22102,2632,0.894,0.106
8760,28146,27614,12597,15017,0.456,0.544
8761,28147,24697,17278,7419,0.7,0.3
8762,28150,28098,16212,11886,0.577,0.423
8763,28152,24735,13251,11484,0.536,0.464
8764,28159,3108,3003,105,0.966,0.034
8765,28160,3929,3588,341,0.913,0.087
8766,28163,5233,573,4660,0.109,0.891
8767,28164,14085,7175,6910,0.509,0.491
8768,28166,8619,4115,4504,0.477,0.523
8769,28167,2362,0,2362,0.0,1.0
8770,28168,10230,0,10230,0.0,1.0
8771,28169,173,102,71,0.59,0.41
8772,28170,12355,5616,6739,0.455,0.545
8773,28173,45097,33698,11399,0.747,0.253
8774,28174,8608,5130,3478,0.596,0.404
8775,28202,11195,11195,0,1.0,0.0
8776,28203,11315,11315,0,1.0,0.0
8777,28204,4796,4796,0,1.0,0.0
8778,28205,43931,43931,0,1.0,0.0
8779,28206,11898,11898,0,1.0,0.0
8780,28207,9280,9280,0,1.0,0.0
8781,28208,34167,34167,0,1.0,0.0
8782,28209,20317,20317,0,1.0,0.0
8783,28210,42263,42263,0,1.0,0.0
8784,28211,28523,28523,0,1.0,0.0
8785,28212,38457,38457,0,1.0,0.0
8786,28213,37309,37309,0,1.0,0.0
8787,28214,34721,33980,741,0.979,0.021
8788,28215,53629,53368,261,0.995,0.005
8789,28216,47208,47173,35,0.999,0.001
8790,28217,24204,24204,0,1.0,0.0
8791,28226,37286,37286,0,1.0,0.0
8792,28227,49635,47925,1710,0.966,0.034
8793,28244,0,0,0,,
8794,28262,37547,37547,0,1.0,0.0
8795,28269,71048,71048,0,1.0,0.0
8796,28270,31525,31525,0,1.0,0.0
8797,28273,31478,31478,0,1.0,0.0
8798,28277,59664,59664,0,1.0,0.0
8799,28278,19283,16953,2330,0.879,0.121
8800,28280,10,10,0,1.0,0.0
8801,28282,0,0,0,,
8802,28301,17165,17165,0,1.0,0.0
8803,28303,30909,30909,0,1.0,0.0
8804,28304,37147,36991,156,0.996,0.004
8805,28305,6073,6073,0,1.0,0.0
8806,28306,39683,35468,4215,0.894,0.106
8807,28307,17631,17631,0,1.0,0.0
8808,28308,405,405,0,1.0,0.0
8809,28310,3459,3459,0,1.0,0.0
8810,28311,34567,30803,3764,0.891,0.109
8811,28312,18538,3732,14806,0.201,0.799
8812,28314,54520,54520,0,1.0,0.0
8813,28315,11681,7578,4103,0.649,0.351
8814,28318,4627,0,4627,0.0,1.0
8815,28320,9229,0,9229,0.0,1.0
8816,28323,3182,39,3143,0.012,0.988
8817,28325,508,428,80,0.843,0.157
8818,28326,17646,7354,10292,0.417,0.583
8819,28327,15433,3607,11826,0.234,0.766
8820,28328,27042,9538,17504,0.353,0.647
8821,28330,346,338,8,0.977,0.023
8822,28332,482,0,482,0.0,1.0
8823,28333,11830,5739,6091,0.485,0.515
8824,28334,24908,10486,14422,0.421,0.579
8825,28337,10670,3085,7585,0.289,0.711
8826,28338,4607,0,4607,0.0,1.0
8827,28339,6751,4337,2414,0.642,0.358
8828,28340,10765,2507,8258,0.233,0.767
8829,28341,4257,0,4257,0.0,1.0
8830,28342,298,0,298,0.0,1.0
8831,28343,1685,0,1685,0.0,1.0
8832,28344,3415,0,3415,0.0,1.0
8833,28345,12592,8417,4175,0.668,0.332
8834,28347,1983,0,1983,0.0,1.0
8835,28348,33307,29497,3810,0.886,0.114
8836,28349,3724,0,3724,0.0,1.0
8837,28350,305,0,305,0.0,1.0
8838,28351,4759,1313,3446,0.276,0.724
8839,28352,25641,17174,8467,0.67,0.33
8840,28356,5018,0,5018,0.0,1.0
8841,28357,3125,251,2874,0.08,0.92
8842,28358,38738,24357,14381,0.629,0.371
8843,28360,14263,6093,8170,0.427,0.573
8844,28363,1202,0,1202,0.0,1.0
8845,28364,14809,2674,12135,0.181,0.819
8846,28365,17144,4768,12376,0.278,0.722
8847,28366,5061,0,5061,0.0,1.0
8848,28367,87,0,87,0.0,1.0
8849,28369,2652,0,2652,0.0,1.0
8850,28371,6519,2716,3803,0.417,0.583
8851,28372,14783,6725,8058,0.455,0.545
8852,28373,2150,1247,903,0.58,0.42
8853,28374,15990,14292,1698,0.894,0.106
8854,28375,102,0,102,0.0,1.0
8855,28376,37991,25614,12377,0.674,0.326
8856,28377,12666,4185,8481,0.33,0.67
8857,28379,26388,16649,9739,0.631,0.369
8858,28382,7056,0,7056,0.0,1.0
8859,28383,8080,0,8080,0.0,1.0
8860,28384,12097,3288,8809,0.272,0.728
8861,28385,3029,0,3029,0.0,1.0
8862,28386,6319,0,6319,0.0,1.0
8863,28387,13921,12341,1580,0.887,0.113
8864,28390,19942,14445,5497,0.724,0.276
8865,28391,5302,0,5302,0.0,1.0
8866,28392,1579,0,1579,0.0,1.0
8867,28393,2005,0,2005,0.0,1.0
8868,28394,5164,0,5164,0.0,1.0
8869,28395,2375,0,2375,0.0,1.0
8870,28396,2732,0,2732,0.0,1.0
8871,28398,8112,3045,5067,0.375,0.625
8872,28399,2140,0,2140,0.0,1.0
8873,28401,22094,21678,416,0.981,0.019
8874,28403,36063,36063,0,1.0,0.0
8875,28405,29152,28843,309,0.989,0.011
8876,28409,31296,31296,0,1.0,0.0
8877,28411,31962,30581,1381,0.957,0.043
8878,28412,35573,34805,768,0.978,0.022
8879,28420,3886,8,3878,0.002,0.998
8880,28421,1521,0,1521,0.0,1.0
8881,28422,6641,0,6641,0.0,1.0
8882,28423,2290,0,2290,0.0,1.0
8883,28424,128,122,6,0.953,0.047
8884,28425,10906,3456,7450,0.317,0.683
8885,28428,6033,6033,0,1.0,0.0
8886,28429,8026,6131,1895,0.764,0.236
8887,28430,1900,0,1900,0.0,1.0
8888,28431,7102,0,7102,0.0,1.0
8889,28432,1968,0,1968,0.0,1.0
8890,28433,5050,0,5050,0.0,1.0
8891,28434,1329,0,1329,0.0,1.0
8892,28435,2490,0,2490,0.0,1.0
8893,28436,2203,0,2203,0.0,1.0
8894,28438,1845,0,1845,0.0,1.0
8895,28439,1595,0,1595,0.0,1.0
8896,28441,3198,0,3198,0.0,1.0
8897,28442,1647,0,1647,0.0,1.0
8898,28443,17512,10716,6796,0.612,0.388
8899,28444,2085,0,2085,0.0,1.0
8900,28445,5676,0,5676,0.0,1.0
8901,28447,1391,0,1391,0.0,1.0
8902,28448,1243,0,1243,0.0,1.0
8903,28449,1692,1692,0,1.0,0.0
8904,28450,2438,0,2438,0.0,1.0
8905,28451,27112,17782,9330,0.656,0.344
8906,28452,694,0,694,0.0,1.0
8907,28453,3829,0,3829,0.0,1.0
8908,28454,2545,0,2545,0.0,1.0
8909,28455,2117,0,2117,0.0,1.0
8910,28456,3658,0,3658,0.0,1.0
8911,28457,9905,726,9179,0.073,0.927
8912,28458,6444,0,6444,0.0,1.0
8913,28460,7652,3899,3753,0.51,0.49
8914,28461,16126,12191,3935,0.756,0.244
8915,28462,11680,3136,8544,0.268,0.732
8916,28463,9799,3828,5971,0.391,0.609
8917,28464,2457,359,2098,0.146,0.854
8918,28465,6531,6036,495,0.924,0.076
8919,28466,10103,3986,6117,0.395,0.605
8920,28467,8703,7302,1401,0.839,0.161
8921,28468,4375,3814,561,0.872,0.128
8922,28469,5839,3851,1988,0.66,0.34
8923,28470,10644,5304,5340,0.498,0.502
8924,28472,19658,7324,12334,0.373,0.627
8925,28478,4588,0,4588,0.0,1.0
8926,28479,4903,1854,3049,0.378,0.622
8927,28480,2473,2473,0,1.0,0.0
8928,28501,20389,14878,5511,0.73,0.27
8929,28504,21642,13168,8474,0.608,0.392
8930,28508,2737,0,2737,0.0,1.0
8931,28510,1502,0,1502,0.0,1.0
8932,28511,694,0,694,0.0,1.0
8933,28512,2896,2755,141,0.951,0.049
8934,28513,10346,5207,5139,0.503,0.497
8935,28515,2915,0,2915,0.0,1.0
8936,28516,11431,6172,5259,0.54,0.46
8937,28518,7909,0,7909,0.0,1.0
8938,28519,404,404,0,1.0,0.0
8939,28520,327,0,327,0.0,1.0
8940,28521,2287,0,2287,0.0,1.0
8941,28523,2456,0,2456,0.0,1.0
8942,28524,426,0,426,0.0,1.0
8943,28525,3132,0,3132,0.0,1.0
8944,28526,2489,0,2489,0.0,1.0
8945,28527,1140,0,1140,0.0,1.0
8946,28528,644,0,644,0.0,1.0
8947,28529,2193,0,2193,0.0,1.0
8948,28530,7332,3500,3832,0.477,0.523
8949,28531,1207,0,1207,0.0,1.0
8950,28532,23320,18632,4688,0.799,0.201
8951,28533,2952,2952,0,1.0,0.0
8952,28537,137,0,137,0.0,1.0
8953,28538,2175,0,2175,0.0,1.0
8954,28539,15469,12039,3430,0.778,0.222
8955,28540,49252,39519,9733,0.802,0.198
8956,28543,4699,4699,0,1.0,0.0
8957,28544,5368,5106,262,0.951,0.049
8958,28546,42696,38354,4342,0.898,0.102
8959,28547,21884,20216,1668,0.924,0.076
8960,28551,14093,3972,10121,0.282,0.718
8961,28552,254,0,254,0.0,1.0
8962,28553,454,0,454,0.0,1.0
8963,28554,243,0,243,0.0,1.0
8964,28555,5175,0,5175,0.0,1.0
8965,28556,963,0,963,0.0,1.0
8966,28557,14429,14175,254,0.982,0.018
8967,28560,28921,23233,5688,0.803,0.197
8968,28562,36176,29604,6572,0.818,0.182
8969,28570,21432,14504,6928,0.677,0.323
8970,28571,2585,0,2585,0.0,1.0
8971,28572,6531,0,6531,0.0,1.0
8972,28573,2176,0,2176,0.0,1.0
8973,28574,15102,2803,12299,0.186,0.814
8974,28575,316,285,31,0.902,0.098
8975,28577,522,0,522,0.0,1.0
8976,28578,6363,0,6363,0.0,1.0
8977,28579,622,0,622,0.0,1.0
8978,28580,12657,0,12657,0.0,1.0
8979,28581,214,0,214,0.0,1.0
8980,28582,1588,0,1588,0.0,1.0
8981,28583,281,0,281,0.0,1.0
8982,28584,11396,7548,3848,0.662,0.338
8983,28585,3942,0,3942,0.0,1.0
8984,28586,8218,0,8218,0.0,1.0
8985,28587,369,0,369,0.0,1.0
8986,28589,180,0,180,0.0,1.0
8987,28590,23407,20220,3187,0.864,0.136
8988,28594,3655,3655,0,1.0,0.0
8989,28601,50026,49045,981,0.98,0.02
8990,28602,28981,21403,7578,0.739,0.261
8991,28604,6249,0,6249,0.0,1.0
8992,28605,3412,0,3412,0.0,1.0
8993,28606,2158,0,2158,0.0,1.0
8994,28607,33059,22678,10381,0.686,0.314
8995,28609,5864,0,5864,0.0,1.0
8996,28610,9913,2798,7115,0.282,0.718
8997,28611,885,0,885,0.0,1.0
8998,28612,12397,5264,7133,0.425,0.575
8999,28613,22759,18925,3834,0.832,0.168
9000,28615,1876,0,1876,0.0,1.0
9001,28616,493,0,493,0.0,1.0
9002,28617,2261,0,2261,0.0,1.0
9003,28618,2352,0,2352,0.0,1.0
9004,28619,1520,1398,122,0.92,0.08
9005,28621,10472,4092,6380,0.391,0.609
9006,28622,2527,0,2527,0.0,1.0
9007,28623,1653,0,1653,0.0,1.0
9008,28624,1639,0,1639,0.0,1.0
9009,28625,36189,13621,22568,0.376,0.624
9010,28626,2714,0,2714,0.0,1.0
9011,28627,1152,0,1152,0.0,1.0
9012,28628,479,479,0,1.0,0.0
9013,28629,75,0,75,0.0,1.0
9014,28630,20041,11949,8092,0.596,0.404
9015,28631,637,0,637,0.0,1.0
9016,28634,5225,0,5225,0.0,1.0
9017,28635,3901,0,3901,0.0,1.0
9018,28636,5522,617,4905,0.112,0.888
9019,28637,1746,1746,0,1.0,0.0
9020,28638,12302,11246,1056,0.914,0.086
9021,28640,4719,1655,3064,0.351,0.649
9022,28642,5745,2355,3390,0.41,0.59
9023,28643,3521,0,3521,0.0,1.0
9024,28644,1494,0,1494,0.0,1.0
9025,28645,47703,29057,18646,0.609,0.391
9026,28646,342,0,342,0.0,1.0
9027,28647,89,0,89,0.0,1.0
9028,28649,993,0,993,0.0,1.0
9029,28650,11883,3913,7970,0.329,0.671
9030,28651,7132,1854,5278,0.26,0.74
9031,28652,46,0,46,0.0,1.0
9032,28654,3495,605,2890,0.173,0.827
9033,28655,54996,29382,25614,0.534,0.466
9034,28657,9488,0,9488,0.0,1.0
9035,28658,27022,17728,9294,0.656,0.344
9036,28659,21134,9377,11757,0.444,0.556
9037,28660,2249,0,2249,0.0,1.0
9038,28662,140,0,140,0.0,1.0
9039,28663,614,0,614,0.0,1.0
9040,28665,2571,60,2511,0.023,0.977
9041,28666,368,368,0,1.0,0.0
9042,28667,559,529,30,0.946,0.054
9043,28668,300,0,300,0.0,1.0
9044,28669,3146,0,3146,0.0,1.0
9045,28670,2719,11,2708,0.004,0.996
9046,28671,597,527,70,0.883,0.117
9047,28672,35,0,35,0.0,1.0
9048,28673,5919,1686,4233,0.285,0.715
9049,28675,6621,0,6621,0.0,1.0
9050,28676,3483,63,3420,0.018,0.982
9051,28677,32940,19241,13699,0.584,0.416
9052,28678,5226,0,5226,0.0,1.0
9053,28679,2064,0,2064,0.0,1.0
9054,28681,25910,7546,18364,0.291,0.709
9055,28682,1129,224,905,0.198,0.802
9056,28683,1697,0,1697,0.0,1.0
9057,28684,2141,0,2141,0.0,1.0
9058,28685,2076,0,2076,0.0,1.0
9059,28689,1712,0,1712,0.0,1.0
9060,28690,9295,7683,1612,0.827,0.173
9061,28692,4067,85,3982,0.021,0.979
9062,28693,1700,0,1700,0.0,1.0
9063,28694,7744,2474,5270,0.319,0.681
9064,28697,12930,6368,6562,0.492,0.508
9065,28698,2256,0,2256,0.0,1.0
9066,28701,3635,893,2742,0.246,0.754
9067,28702,366,0,366,0.0,1.0
9068,28704,18821,17376,1445,0.923,0.077
9069,28705,6715,0,6715,0.0,1.0
9070,28707,94,0,94,0.0,1.0
9071,28708,754,0,754,0.0,1.0
9072,28709,2225,0,2225,0.0,1.0
9073,28711,13209,9720,3489,0.736,0.264
9074,28712,19347,10462,8885,0.541,0.459
9075,28713,8686,0,8686,0.0,1.0
9076,28714,16753,0,16753,0.0,1.0
9077,28715,24582,16288,8294,0.663,0.337
9078,28716,17477,8625,8852,0.494,0.506
9079,28717,1729,0,1729,0.0,1.0
9080,28718,553,0,553,0.0,1.0
9081,28719,8048,0,8048,0.0,1.0
9082,28720,114,0,114,0.0,1.0
9083,28721,10063,4636,5427,0.461,0.539
9084,28722,6371,0,6371,0.0,1.0
9085,28723,11329,6332,4997,0.559,0.441
9086,28725,43,29,14,0.674,0.326
9087,28726,3203,3200,3,0.999,0.001
9088,28729,2894,2219,675,0.767,0.233
9089,28730,9133,3361,5772,0.368,0.632
9090,28731,7778,4351,3427,0.559,0.441
9091,28732,16491,12416,4075,0.753,0.247
9092,28733,21,0,21,0.0,1.0
9093,28734,27040,6781,20259,0.251,0.749
9094,28735,256,0,256,0.0,1.0
9095,28736,787,0,787,0.0,1.0
9096,28739,19786,13508,6278,0.683,0.317
9097,28740,1364,0,1364,0.0,1.0
9098,28741,3197,0,3197,0.0,1.0
9099,28742,2710,873,1837,0.322,0.678
9100,28743,2125,0,2125,0.0,1.0
9101,28745,551,545,6,0.989,0.011
9102,28746,2388,0,2388,0.0,1.0
9103,28747,2198,0,2198,0.0,1.0
9104,28748,11334,2966,8368,0.262,0.738
9105,28749,50,0,50,0.0,1.0
9106,28751,2916,0,2916,0.0,1.0
9107,28752,30600,13004,17596,0.425,0.575
9108,28753,11670,0,11670,0.0,1.0
9109,28754,7679,1948,5731,0.254,0.746
9110,28756,4504,0,4504,0.0,1.0
9111,28757,280,151,129,0.539,0.461
9112,28759,6922,2834,4088,0.409,0.591
9113,28761,7816,359,7457,0.046,0.954
9114,28762,6857,0,6857,0.0,1.0
9115,28763,2725,0,2725,0.0,1.0
9116,28766,1262,0,1262,0.0,1.0
9117,28768,6813,2601,4212,0.382,0.618
9118,28771,8558,0,8558,0.0,1.0
9119,28772,1239,223,1016,0.18,0.82
9120,28773,3378,0,3378,0.0,1.0
9121,28774,1013,0,1013,0.0,1.0
9122,28775,296,0,296,0.0,1.0
9123,28777,10638,4700,5938,0.442,0.558
9124,28778,10381,7850,2531,0.756,0.244
9125,28779,16111,4476,11635,0.278,0.722
9126,28781,939,0,939,0.0,1.0
9127,28782,6584,1585,4999,0.241,0.759
9128,28783,1593,0,1593,0.0,1.0
9129,28785,7338,802,6536,0.109,0.891
9130,28786,20714,11698,9016,0.565,0.435
9131,28787,19718,9312,10406,0.472,0.528
9132,28789,5097,0,5097,0.0,1.0
9133,28790,3205,188,3017,0.059,0.941
9134,28791,14171,14118,53,0.996,0.004
9135,28792,32689,20366,12323,0.623,0.377
9136,28801,15019,15019,0,1.0,0.0
9137,28803,28693,25680,3013,0.895,0.105
9138,28804,20507,17838,2669,0.87,0.13
9139,28805,17620,14848,2772,0.843,0.157
9140,28806,38550,36854,1696,0.956,0.044
9141,28901,5354,0,5354,0.0,1.0
9142,28902,1373,0,1373,0.0,1.0
9143,28904,8533,0,8533,0.0,1.0
9144,28905,3129,0,3129,0.0,1.0
9145,28906,18475,0,18475,0.0,1.0
9146,28909,1030,0,1030,0.0,1.0
9147,29001,2148,0,2148,0.0,1.0
9148,29003,6989,3492,3497,0.5,0.5
9149,29006,9565,3429,6136,0.358,0.642
9150,29009,2440,0,2440,0.0,1.0
9151,29010,13491,5391,8100,0.4,0.6
9152,29014,1891,0,1891,0.0,1.0
9153,29015,1738,0,1738,0.0,1.0
9154,29016,16393,8864,7529,0.541,0.459
9155,29018,3749,0,3749,0.0,1.0
9156,29020,22463,13464,8999,0.599,0.401
9157,29030,1967,0,1967,0.0,1.0
9158,29031,1349,0,1349,0.0,1.0
9159,29032,4424,82,4342,0.019,0.981
9160,29033,11603,11546,57,0.995,0.005
9161,29036,19140,13750,5390,0.718,0.282
9162,29037,824,0,824,0.0,1.0
9163,29038,2445,0,2445,0.0,1.0
